elev_ft_ngvd29,elev_ft_navd88,area_km2,volume_kaf
4166.6,4170.08,0.0,0.0
4166.7,4170.18,6.06,0.0
4166.8,4170.28,13.73,0.3
4166.9,4170.38,16.68,0.7
4167.0,4170.48,19.17,1.1
4167.1,4170.58,21.27,1.6
4167.2,4170.68,23.3,2.2
4167.3,4170.78,25.46,2.8
4167.4,4170.88,27.77,3.4
4167.5,4170.98,31.62,4.1
4167.6,4171.08,38.48,5.0
4167.7,4171.18,45.34,6.0
4167.8,4171.28,49.83,7.2
4167.9,4171.38,53.83,8.5
4168.0,4171.48,57.27,9.9
4168.1,4171.58,61.81,11.3
4168.2,4171.68,68.66,13.0
4168.3,4171.78,76.3,14.7
4168.4,4171.88,88.54,16.8
4168.5,4171.98,106.82,19.2
4168.6,4172.08,153.03,22.4
4168.7,4172.18,199.43,26.7
4168.8,4172.28,219.64,31.9
4168.9,4172.38,234.04,37.5
4169.0,4172.48,247.37,43.5
4169.1,4172.58,259.87,49.7
4169.2,4172.68,272.0,56.3
4169.3,4172.78,284.34,63.2
4169.4,4172.88,298.54,70.4
4169.5,4172.98,314.94,78.0
4169.6,4173.08,333.66,86.0
4169.7,4173.18,350.71,94.4
4169.8,4173.28,363.09,103.2
4169.9,4173.38,372.94,112.3
4170.0,4173.48,382.54,121.7
4170.1,4173.58,391.75,131.3
4170.2,4173.68,401.12,141.1
4170.3,4173.78,410.83,151.1
4170.4,4173.88,421.25,161.3
4170.5,4173.98,432.54,171.9
4170.6,4174.08,446.86,182.8
4170.7,4174.18,463.15,194.0
4170.8,4174.28,474.7,205.6
4170.9,4174.38,484.07,217.4
4171.0,4174.48,492.73,229.5
4171.1,4174.58,501.11,241.8
4171.2,4174.68,509.63,254.3
4171.3,4174.78,518.15,267.0
4171.4,4174.88,527.23,279.9
4171.5,4174.98,537.84,293.0
4171.6,4175.08,551.4,306.5
4171.7,4175.18,567.2,320.4
4171.8,4175.28,577.67,334.5
4171.9,4175.38,585.81,348.9
4172.0,4175.48,592.72,363.4
4172.1,4175.58,599.0,378.2
4172.2,4175.68,605.31,393.1
4172.3,4175.78,611.46,408.0
4172.4,4175.88,617.83,423.2
4172.5,4175.98,624.71,438.6
4172.6,4176.08,632.34,454.1
4172.7,4176.18,641.05,469.9
4172.8,4176.28,648.79,485.8
4172.9,4176.38,654.96,501.9
4173.0,4176.48,660.81,518.2
4173.1,4176.58,666.56,534.6
4173.2,4176.68,672.27,551.1
4173.3,4176.78,678.0,567.8
4173.4,4176.88,684.11,584.6
4173.5,4176.98,690.75,601.6
4173.6,4177.08,698.21,618.8
4173.7,4177.18,706.35,636.2
4173.8,4177.28,713.83,653.6
4173.9,4177.38,719.95,671.4
4174.0,4177.48,725.75,689.2
4174.1,4177.58,731.2,707.3
4174.2,4177.68,736.63,725.4
4174.3,4177.78,742.06,743.6
4174.4,4177.88,747.67,762.0
4174.5,4177.98,753.8,780.6
4174.6,4178.08,760.84,799.3
4174.7,4178.18,768.32,818.2
4174.8,4178.28,774.85,837.2
4174.9,4178.38,780.38,856.5
4175.0,4178.48,785.24,875.8
4175.1,4178.58,789.75,895.3
4175.2,4178.68,794.27,914.9
4175.3,4178.78,798.79,934.5
4175.4,4178.88,803.5,954.3
4175.5,4178.98,808.74,974.3
4175.6,4179.08,814.48,994.3
4175.7,4179.18,820.83,1014.6
4175.8,4179.28,826.31,1034.8
4175.9,4179.38,830.9,1055.3
4176.0,4179.48,835.18,1075.9
4176.1,4179.58,839.33,1096.6
