model,h,mae,rmse,mae_ratio,crps,cov90
blend,1,0.125837,0.174873,0.375123,0.042581,0.898089
blend,2,0.224587,0.310823,0.352636,0.075722,0.878981
blend,3,0.319246,0.429240,0.354929,0.106227,0.885350
blend,4,0.395316,0.548563,0.356207,0.132988,0.891720
blend,5,0.455534,0.651245,0.363092,0.156498,0.885350
blend,6,0.521480,0.763548,0.391887,0.186097,0.878981
blend,7,0.598427,0.871564,0.445150,0.208097,0.885350
blend,8,0.689886,0.983623,0.526040,0.238599,0.872611
blend,9,0.773042,1.084098,0.615334,0.265872,0.885350
blend,10,0.869434,1.186795,0.709308,0.293818,0.885350
blend,11,0.961175,1.282922,0.778790,0.315577,0.872611
blend,12,1.068688,1.389548,0.831672,0.351853,0.885350
blend,13,1.173887,1.501847,0.858999,0.381880,0.878981
blend,14,1.289335,1.616675,0.861414,0.415393,0.878981
blend,15,1.383894,1.709440,0.847262,0.438677,0.872611
blend,16,1.472744,1.816607,0.837568,0.464857,0.872611
blend,17,1.552098,1.896800,0.836310,0.487802,0.866242
blend,18,1.614732,1.959212,0.845074,0.506441,0.859873
blend,19,1.713165,2.065698,0.886527,0.531607,0.859873
blend,20,1.795520,2.151643,0.938607,0.555677,0.872611
blend,21,1.861519,2.220525,0.993341,0.569478,0.866242
blend,22,1.921807,2.288662,1.052785,0.585900,0.859873
blend,23,1.967488,2.335574,1.091128,0.591378,0.859873
blend,24,1.998515,2.368285,1.114354,0.604155,0.859873
blend_swe,1,0.123836,0.169756,0.369156,0.041231,0.885350
blend_swe,2,0.224099,0.302089,0.351871,0.075082,0.878981
blend_swe,3,0.313420,0.423212,0.348452,0.103012,0.885350
blend_swe,4,0.401295,0.547215,0.361595,0.135709,0.872611
blend_swe,5,0.486580,0.665610,0.387838,0.165376,0.872611
blend_swe,6,0.574590,0.779444,0.431798,0.194516,0.885350
blend_swe,7,0.658948,0.879823,0.490169,0.220836,0.891720
blend_swe,8,0.753339,0.985175,0.574423,0.249376,0.885350
blend_swe,9,0.819898,1.073512,0.652631,0.273088,0.872611
blend_swe,10,0.890760,1.158858,0.726707,0.297624,0.878981
blend_swe,11,0.965224,1.245810,0.782071,0.317997,0.885350
blend_swe,12,1.067403,1.341088,0.830672,0.345543,0.878981
blend_swe,13,1.171241,1.445898,0.857063,0.373933,0.891720
blend_swe,14,1.275461,1.558737,0.852145,0.412087,0.866242
blend_swe,15,1.362463,1.644720,0.834141,0.433854,0.872611
blend_swe,16,1.442034,1.730304,0.820103,0.462547,0.866242
blend_swe,17,1.483514,1.807434,0.799355,0.481683,0.859873
blend_swe,18,1.534914,1.880385,0.803301,0.495256,0.866242
blend_swe,19,1.589738,1.952220,0.822656,0.504509,0.859873
blend_swe,20,1.645039,2.007288,0.859943,0.524417,0.872611
blend_swe,21,1.690327,2.060323,0.901989,0.545615,0.859873
blend_swe,22,1.755563,2.114059,0.961714,0.546536,0.859873
blend_swe,23,1.810994,2.167048,1.004340,0.560887,0.859873
blend_swe,24,1.855104,2.225482,1.034390,0.578534,0.847134
drift_12m,1,0.338748,0.418805,1.009815,0.105084,0.878981
drift_12m,2,0.640601,0.802212,1.005843,0.199329,0.872611
drift_12m,3,0.921714,1.138523,1.024737,0.287685,0.891720
drift_12m,4,1.151006,1.415806,1.037137,0.353824,0.878981
drift_12m,5,1.329659,1.632646,1.059831,0.408654,0.878981
drift_12m,6,1.438018,1.790037,1.080656,0.450902,0.885350
drift_12m,7,1.496206,1.898020,1.112977,0.479495,0.878981
drift_12m,8,1.510724,1.969027,1.151931,0.499934,0.885350
drift_12m,9,1.510886,2.024277,1.202651,0.514342,0.878981
drift_12m,10,1.568674,2.090227,1.279768,0.536440,0.872611
drift_12m,11,1.674079,2.196069,1.356419,0.574622,0.866242
drift_12m,12,1.810337,2.357355,1.408837,0.624342,0.872611
drift_12m,13,2.002705,2.573365,1.465492,0.679306,0.866242
drift_12m,14,2.216018,2.823019,1.480537,0.734924,0.859873
drift_12m,15,2.432318,3.078489,1.489139,0.795653,0.853503
drift_12m,16,2.640772,3.319907,1.501841,0.875438,0.853503
drift_12m,17,2.813462,3.535828,1.515965,0.939405,0.866242
drift_12m,18,2.938679,3.722455,1.537964,0.976373,0.859873
drift_12m,19,3.031568,3.878856,1.568773,1.017034,0.853503
drift_12m,20,3.114607,4.013286,1.628160,1.056278,0.847134
drift_12m,21,3.200679,4.136900,1.707941,1.096809,0.840764
