model,issue,target,mae,n
blend,apr,peak,0.302581,13
blend_swe,apr,peak,0.267938,13
drift_12m,apr,peak,0.635385,13
drift_24m,apr,peak,0.644110,13
drift_60m,apr,peak,0.631682,13
ets_add_noseas,apr,peak,0.816675,13
ets_add_s12,apr,peak,0.409002,13
ets_damped_noseas,apr,peak,0.498547,13
ets_damped_s12,apr,peak,0.408652,13
inflow_chain,apr,peak,0.268897,13
inflow_chain_area,apr,peak,0.275812,13
ma_simple_12,apr,peak,1.072811,13
ma_simple_3,apr,peak,1.011932,13
ma_simple_6,apr,peak,1.361166,13
naive_last,apr,peak,0.623034,13
naive_seasonal,apr,peak,1.093248,13
swe_head,apr,peak,0.302581,13
swe_regression,apr,peak,0.255756,13
theta,apr,peak,0.621084,13
blend,feb,peak,0.572730,13
blend_swe,feb,peak,0.633962,13
drift_12m,feb,peak,1.424029,13
drift_24m,feb,peak,1.416062,13
drift_60m,feb,peak,1.448425,13
ets_add_noseas,feb,peak,0.730825,13
ets_add_s12,feb,peak,0.877681,13
ets_damped_noseas,feb,peak,0.829220,13
ets_damped_s12,feb,peak,0.868812,13
inflow_chain,feb,peak,0.624570,13
inflow_chain_area,feb,peak,0.637984,13
ma_simple_12,feb,peak,1.232937,13
ma_simple_3,feb,peak,1.591473,13
ma_simple_6,feb,peak,1.535843,13
naive_last,feb,peak,1.393913,13
naive_seasonal,feb,peak,1.093248,13
swe_head,feb,peak,0.560628,13
swe_regression,feb,peak,0.613659,13
theta,feb,peak,1.391527,13
blend,jan,peak,0.710340,13
blend_swe,jan,peak,0.874295,13
drift_12m,jan,peak,1.690980,13
drift_24m,jan,peak,1.658992,13
drift_60m,jan,peak,1.699995,13
ets_add_noseas,jan,peak,1.059244,13
ets_add_s12,jan,peak,1.072830,13
ets_damped_noseas,jan,peak,1.218500,13
ets_damped_s12,jan,peak,1.011286,13
inflow_chain,jan,peak,0.838385,13
inflow_chain_area,jan,peak,0.853135,13
ma_simple_12,jan,peak,1.305220,13
ma_simple_3,jan,peak,1.710400,13
ma_simple_6,jan,peak,1.397413,13
naive_last,jan,peak,1.622754,13
naive_seasonal,jan,peak,1.093248,13
swe_head,jan,peak,0.695462,13
swe_regression,jan,peak,0.848497,13
theta,jan,peak,1.619921,13
blend,mar,peak,0.426375,13
blend_swe,mar,peak,0.462561,13
drift_12m,mar,peak,1.090500,13
drift_24m,mar,peak,1.070387,13
drift_60m,mar,peak,1.058438,13
ets_add_noseas,mar,peak,0.778301,13
ets_add_s12,mar,peak,0.677456,13
ets_damped_noseas,mar,peak,0.597781,13
ets_damped_s12,mar,peak,0.701390,13
inflow_chain,mar,peak,0.415522,13
inflow_chain_area,mar,peak,0.421929,13
ma_simple_12,mar,peak,1.151676,13
ma_simple_3,mar,peak,1.348054,13
ma_simple_6,mar,peak,1.520066,13
naive_last,mar,peak,1.027496,13
naive_seasonal,mar,peak,1.093248,13
swe_head,mar,peak,0.415645,13
swe_regression,mar,peak,0.438003,13
theta,mar,peak,1.025482,13
blend,may,peak,0.122044,13
blend_swe,may,peak,0.138958,13
drift_12m,may,peak,0.273929,13
drift_24m,may,peak,0.290211,13
drift_60m,may,peak,0.295086,13
ets_add_noseas,may,peak,0.423980,13
ets_add_s12,may,peak,0.202721,13
ets_damped_noseas,may,peak,0.237033,13
ets_damped_s12,may,peak,0.176448,13
inflow_chain,may,peak,0.123868,13
inflow_chain_area,may,peak,0.128311,13
ma_simple_12,may,peak,0.307610,13
ma_simple_3,may,peak,0.288627,13
ma_simple_6,may,peak,0.289049,13
naive_last,may,peak,0.289049,13
naive_seasonal,may,peak,0.808805,13
swe_head,may,peak,0.122044,13
swe_regression,may,peak,0.142785,13
theta,may,peak,0.289709,13
blend,apr,wy_end,0.503290,13
blend_swe,apr,wy_end,0.497157,13
drift_12m,apr,wy_end,1.576649,13
drift_24m,apr,wy_end,1.540375,13
drift_60m,apr,wy_end,1.512599,13
ets_add_noseas,apr,wy_end,3.808966,13
ets_add_s12,apr,wy_end,0.994542,13
ets_damped_noseas,apr,wy_end,2.549379,13
ets_damped_s12,apr,wy_end,0.936431,13
inflow_chain,apr,wy_end,0.781017,13
inflow_chain_area,apr,wy_end,0.785659,13
ma_simple_12,apr,wy_end,1.434386,13
ma_simple_3,apr,wy_end,1.388948,13
ma_simple_6,apr,wy_end,1.262759,13
naive_last,apr,wy_end,1.577303,13
naive_seasonal,apr,wy_end,1.218531,13
swe_head,apr,wy_end,0.503290,13
swe_regression,apr,wy_end,0.464959,13
theta,apr,wy_end,1.580233,13
blend,aug,wy_end,0.187543,13
blend_swe,aug,wy_end,0.184594,13
drift_12m,aug,wy_end,0.998146,13
drift_24m,aug,wy_end,1.014674,13
drift_60m,aug,wy_end,1.005727,13
ets_add_noseas,aug,wy_end,0.232904,13
ets_add_s12,aug,wy_end,0.451357,13
ets_damped_noseas,aug,wy_end,0.266051,13
ets_damped_s12,aug,wy_end,0.296821,13
inflow_chain,aug,wy_end,0.186607,13
inflow_chain_area,aug,wy_end,0.184338,13
ma_simple_12,aug,wy_end,1.172657,13
ma_simple_3,aug,wy_end,1.479719,13
ma_simple_6,aug,wy_end,1.407437,13
naive_last,aug,wy_end,1.052839,13
naive_seasonal,aug,wy_end,1.218531,13
swe_head,aug,wy_end,0.183851,13
swe_regression,aug,wy_end,0.178596,13
theta,aug,wy_end,1.053057,13
blend,feb,wy_end,0.720531,13
blend_swe,feb,wy_end,0.739259,13
drift_12m,feb,wy_end,1.611538,13
drift_24m,feb,wy_end,1.375655,13
drift_60m,feb,wy_end,1.370584,13
ets_add_noseas,feb,wy_end,2.582239,13
ets_add_s12,feb,wy_end,1.094090,13
ets_damped_noseas,feb,wy_end,1.582332,13
ets_damped_s12,feb,wy_end,1.139606,13
inflow_chain,feb,wy_end,0.970068,13
inflow_chain_area,feb,wy_end,0.982922,13
ma_simple_12,feb,wy_end,1.481532,13
ma_simple_3,feb,wy_end,1.233614,13
ma_simple_6,feb,wy_end,1.243014,13
naive_last,feb,wy_end,1.288033,13
naive_seasonal,feb,wy_end,1.218531,13
swe_head,feb,wy_end,0.701519,13
swe_regression,feb,wy_end,0.684177,13
theta,feb,wy_end,1.294453,13
blend,jan,wy_end,0.900177,13
blend_swe,jan,wy_end,1.023957,13
drift_12m,jan,wy_end,1.701122,13
drift_24m,jan,wy_end,1.477467,13
