run_id,name,status,started_at,ended_at,note,error,params,tags
31,naive_last,completed,2026-09-03 21:51:53,2026-09-03 21:51:53,,,"{""last_cutoff_method"": ""last"", ""last_cutoff_seasonal_period"": 12}",{}
32,naive_seasonal,completed,2026-09-03 21:51:53,2026-09-03 21:51:53,,,"{""last_cutoff_method"": ""seasonal"", ""last_cutoff_seasonal_period"": 12}",{}
33,endpoint_seasonal,completed,2026-09-03 21:51:53,2026-09-03 21:51:53,,,"{""last_cutoff_anchor_column"": ""endpoint_3d_median"", ""last_cutoff_anchor_selection_mae"": 0.10420828907502118, ""last_cutoff_anchor_selection_n"": 358, ""last_cutoff_min_obs"": 5, ""last_cutoff_n_analogs"": ""all""}",{}
34,endpoint_analog,completed,2026-09-03 21:51:53,2026-09-03 21:51:53,,,"{""last_cutoff_anchor_column"": ""last_elevation"", ""last_cutoff_anchor_selection_mae"": 0.10603998195534972, ""last_cutoff_anchor_selection_n"": 358, ""last_cutoff_min_obs"": 5, ""last_cutoff_n_analogs"": 8}",{}
35,ma_simple_3,completed,2026-09-03 21:51:53,2026-09-03 21:51:53,,,"{""last_cutoff_method"": ""simple"", ""last_cutoff_window"": 3}",{}
36,ma_simple_6,completed,2026-09-03 21:51:53,2026-09-03 21:51:53,,,"{""last_cutoff_method"": ""simple"", ""last_cutoff_window"": 6}",{}
37,ma_simple_12,completed,2026-09-03 21:51:53,2026-09-03 21:51:53,,,"{""last_cutoff_method"": ""simple"", ""last_cutoff_window"": 12}",{}
38,drift_12m,completed,2026-09-03 21:51:53,2026-09-03 21:51:53,,,"{""last_cutoff_window"": 12}",{}
39,drift_24m,completed,2026-09-03 21:51:53,2026-09-03 21:51:54,,,"{""last_cutoff_window"": 24}",{}
40,drift_60m,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_window"": 60}",{}
41,ets_add_noseas,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_damped_trend"": false, ""last_cutoff_seasonal"": ""none"", ""last_cutoff_seasonal_periods"": 12, ""last_cutoff_trend"": ""add""}",{}
42,ets_damped_noseas,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_damped_trend"": true, ""last_cutoff_seasonal"": ""none"", ""last_cutoff_seasonal_periods"": 12, ""last_cutoff_trend"": ""add""}",{}
43,ets_add_s12,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_damped_trend"": false, ""last_cutoff_seasonal"": ""add"", ""last_cutoff_seasonal_periods"": 12, ""last_cutoff_trend"": ""add""}",{}
44,ets_damped_s12,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_damped_trend"": true, ""last_cutoff_seasonal"": ""add"", ""last_cutoff_seasonal_periods"": 12, ""last_cutoff_trend"": ""add""}",{}
45,theta,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_alpha"": 0.9999999850988388, ""last_cutoff_slope"": -0.025751425273130207}",{}
46,swe_regression,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_alpha"": ""gcv"", ""last_cutoff_features"": ""swe_eom_gsl,prec_wy_eom_gsl"", ""last_cutoff_min_obs"": 10}",{}
47,swe_head,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_alpha"": ""gcv"", ""last_cutoff_features"": ""swe_eom_gsl,prec_wy_eom_gsl,head_diff_ft"", ""last_cutoff_min_obs"": 10}",{}
48,inflow_chain,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_alpha"": ""gcv"", ""last_cutoff_level_term"": ""level"", ""last_cutoff_min_obs"": 10, ""last_cutoff_snow_features"": ""swe_eom_gsl,prec_wy_eom_gsl""}",{}
49,inflow_chain_area,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_alpha"": ""gcv"", ""last_cutoff_level_term"": ""area"", ""last_cutoff_min_obs"": 10, ""last_cutoff_snow_features"": ""swe_eom_gsl,prec_wy_eom_gsl""}",{}
50,state_space,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_converged"": true, ""last_cutoff_n_params"": 2, ""last_cutoff_state"": ""south_arm_storage_kaf"", ""last_cutoff_structure"": ""local_linear_trend_with_monthly_seasonality""}",{}
51,blend,completed,2026-09-03 21:51:54,2026-09-03 21:51:54,,,"{""last_cutoff_components"": ""swe_head,ets_damped_s12"", ""last_cutoff_covariate_weight_h1"": 1.0, ""last_cutoff_covariate_weight_h12"": 1.0, ""last_cutoff_covariate_weight_h24"": 0.2, ""last_cutoff_covariate_weight_h6"": 1.0, ""last_cutoff_fitted_seasons"": ""accumulation,melt,recession"", ""last_cutoff_issue_season"": ""recession"", ""last_cutoff_n_weight_cutoffs"": 157, ""last_cutoff_weight_step"": 0.01}",{}
