month,model,pred,issue,h,q05,q25,q50,q75,q95
2026-09-01,blend,4189.877,2026-09-01,1,4189.622,4189.789,4189.895,4189.979,4190.173
2026-10-01,blend,4189.625,2026-09-01,2,4189.191,4189.480,4189.638,4189.803,4190.113
2026-11-01,blend,4189.603,2026-09-01,3,4188.912,4189.376,4189.590,4189.817,4190.339
2026-12-01,blend,4189.703,2026-09-01,4,4188.899,4189.398,4189.698,4189.931,4190.679
2027-01-01,blend,4189.956,2026-09-01,5,4189.035,4189.588,4189.947,4190.215,4191.036
2027-02-01,blend,4190.276,2026-09-01,6,4189.165,4189.864,4190.214,4190.567,4191.391
2027-03-01,blend,4190.658,2026-09-01,7,4189.367,4190.180,4190.543,4190.960,4191.963
2027-04-01,blend,4190.936,2026-09-01,8,4189.451,4190.273,4190.796,4191.205,4192.421
2027-05-01,blend,4191.071,2026-09-01,9,4189.514,4190.305,4190.886,4191.349,4192.793
2027-06-01,blend,4191.016,2026-09-01,10,4189.254,4190.208,4190.680,4191.303,4193.135
2027-07-01,blend,4190.579,2026-09-01,11,4188.658,4189.656,4190.165,4190.903,4192.799
2027-08-01,blend,4190.004,2026-09-01,12,4188.064,4188.974,4189.523,4190.340,4192.478
2027-09-01,blend,4189.590,2026-09-01,13,4187.559,4188.407,4188.977,4189.807,4192.651
2027-10-01,blend,4189.376,2026-09-01,14,4187.291,4187.966,4188.701,4189.634,4192.851
2027-11-01,blend,4189.382,2026-09-01,15,4187.148,4187.912,4188.574,4189.692,4193.090
2027-12-01,blend,4189.528,2026-09-01,16,4186.832,4187.918,4188.629,4189.840,4193.237
2028-01-01,blend,4189.773,2026-09-01,17,4186.987,4188.031,4188.794,4190.175,4193.571
2028-02-01,blend,4190.078,2026-09-01,18,4187.077,4188.205,4189.122,4190.556,4193.737
2028-03-01,blend,4190.451,2026-09-01,19,4187.248,4188.371,4189.553,4190.869,4194.078
2028-04-01,blend,4190.743,2026-09-01,20,4187.450,4188.512,4189.823,4191.282,4194.326
2028-05-01,blend,4190.929,2026-09-01,21,4187.651,4188.511,4189.887,4191.510,4194.392
2028-06-01,blend,4190.935,2026-09-01,22,4187.398,4188.469,4189.932,4191.590,4194.331
2028-07-01,blend,4190.561,2026-09-01,23,4186.953,4187.971,4189.490,4191.258,4194.122
2028-08-01,blend,4190.001,2026-09-01,24,4186.299,4187.393,4188.833,4190.611,4193.532
2026-09-01,drift_24m,4190.205,2026-09-01,1,4189.551,4189.868,4190.224,4190.448,4190.842
2026-10-01,drift_24m,4190.084,2026-09-01,2,4188.830,4189.499,4190.122,4190.538,4191.349
2026-11-01,drift_24m,4189.963,2026-09-01,3,4188.230,4189.031,4189.924,4190.573,4191.714
2026-12-01,drift_24m,4189.841,2026-09-01,4,4187.715,4188.765,4189.797,4190.710,4192.068
2027-01-01,drift_24m,4189.720,2026-09-01,5,4187.233,4188.407,4189.622,4190.720,4192.314
2027-02-01,drift_24m,4189.599,2026-09-01,6,4186.824,4188.265,4189.450,4190.746,4192.370
2027-03-01,drift_24m,4189.478,2026-09-01,7,4186.550,4188.145,4189.252,4190.569,4192.409
2027-04-01,drift_24m,4189.357,2026-09-01,8,4186.439,4188.036,4189.066,4190.435,4192.337
2027-05-01,drift_24m,4189.236,2026-09-01,9,4186.206,4187.905,4189.122,4190.196,4192.291
2027-06-01,drift_24m,4189.115,2026-09-01,10,4186.118,4187.488,4189.140,4189.951,4192.116
2027-07-01,drift_24m,4188.994,2026-09-01,11,4185.967,4187.220,4189.081,4190.045,4192.743
2027-08-01,drift_24m,4188.873,2026-09-01,12,4185.498,4187.109,4188.727,4189.848,4193.235
2027-09-01,drift_24m,4188.751,2026-09-01,13,4185.156,4186.852,4188.370,4189.876,4193.643
2027-10-01,drift_24m,4188.630,2026-09-01,14,4184.671,4186.597,4188.155,4190.014,4193.503
2027-11-01,drift_24m,4188.509,2026-09-01,15,4184.060,4186.214,4188.061,4190.162,4193.449
2027-12-01,drift_24m,4188.388,2026-09-01,16,4183.592,4185.913,4187.942,4190.299,4193.237
2028-01-01,drift_24m,4188.267,2026-09-01,17,4182.824,4185.561,4188.015,4190.224,4193.435
2028-02-01,drift_24m,4188.146,2026-09-01,18,4182.672,4185.266,4187.946,4190.165,4193.251
2028-03-01,drift_24m,4188.025,2026-09-01,19,4182.442,4185.131,4187.792,4190.263,4193.294
2028-04-01,drift_24m,4187.904,2026-09-01,20,4182.069,4184.830,4187.569,4189.897,4193.192
2028-05-01,drift_24m,4187.783,2026-09-01,21,4181.725,4184.722,4187.461,4189.647,4193.316
2028-06-01,drift_24m,4187.662,2026-09-01,22,4181.558,4184.597,4187.294,4189.682,4193.367
2028-07-01,drift_24m,4187.540,2026-09-01,23,4181.103,4184.408,4187.145,4189.523,4193.849
2028-08-01,drift_24m,4187.419,2026-09-01,24,4180.739,4184.252,4187.093,4189.749,4194.043
2026-09-01,ets_add_s12,4189.736,2026-09-01,1,4189.395,4189.588,4189.725,4189.865,4190.067
2026-10-01,ets_add_s12,4189.384,2026-09-01,2,4188.726,4189.105,4189.376,4189.615,4190.102
2026-11-01,ets_add_s12,4189.262,2026-09-01,3,4188.208,4188.813,4189.250,4189.635,4190.268
2026-12-01,ets_add_s12,4189.269,2026-09-01,4,4187.749,4188.616,4189.216,4189.837,4190.644
2027-01-01,ets_add_s12,4189.370,2026-09-01,5,4187.526,4188.538,4189.355,4190.131,4191.006
2027-02-01,ets_add_s12,4189.528,2026-09-01,6,4187.292,4188.592,4189.420,4190.440,4191.477
2027-03-01,ets_add_s12,4189.756,2026-09-01,7,4187.080,4188.784,4189.564,4190.840,4191.979
2027-04-01,ets_add_s12,4189.912,2026-09-01,8,4186.815,4188.744,4189.774,4191.046,4192.651
2027-05-01,ets_add_s12,4189.957,2026-09-01,9,4186.524,4188.612,4189.743,4191.254,4193.162
2027-06-01,ets_add_s12,4189.822,2026-09-01,10,4186.096,4188.494,4189.659,4191.043,4193.221
2027-07-01,ets_add_s12,4189.309,2026-09-01,11,4185.249,4187.998,4189.180,4190.516,4192.891
2027-08-01,ets_add_s12,4188.608,2026-09-01,12,4184.171,4187.220,4188.435,4190.006,4192.401
2027-09-01,ets_add_s12,4188.018,2026-09-01,13,4183.005,4186.513,4187.955,4189.538,4192.044
2027-10-01,ets_add_s12,4187.667,2026-09-01,14,4182.077,4185.994,4187.607,4189.440,4191.979
2027-11-01,ets_add_s12,4187.544,2026-09-01,15,4181.378,4185.792,4187.357,4189.334,4192.317
2027-12-01,ets_add_s12,4187.551,2026-09-01,16,4180.804,4185.760,4187.356,4189.618,4192.667
2028-01-01,ets_add_s12,4187.652,2026-09-01,17,4180.504,4186.045,4187.382,4190.034,4192.932
2028-02-01,ets_add_s12,4187.810,2026-09-01,18,4180.496,4186.161,4187.523,4190.247,4193.504
2028-03-01,ets_add_s12,4188.038,2026-09-01,19,4180.507,4186.381,4187.819,4190.548,4194.188
2028-04-01,ets_add_s12,4188.194,2026-09-01,20,4180.362,4186.347,4188.001,4190.649,4194.614
2028-05-01,ets_add_s12,4188.239,2026-09-01,21,4180.114,4186.302,4188.045,4190.974,4194.957
2028-06-01,ets_add_s12,4188.104,2026-09-01,22,4179.634,4186.076,4187.978,4191.059,4194.851
2028-07-01,ets_add_s12,4187.591,2026-09-01,23,4178.717,4185.497,4187.469,4190.508,4194.396
2028-08-01,ets_add_s12,4186.890,2026-09-01,24,4177.589,4184.767,4186.854,4189.772,4194.552
2026-09-01,ets_damped_noseas,4189.846,2026-09-01,1,4189.423,4189.689,4189.865,4189.993,4190.175
2026-10-01,ets_damped_noseas,4189.463,2026-09-01,2,4188.417,4189.045,4189.553,4189.846,4190.215
2026-11-01,ets_damped_noseas,4189.158,2026-09-01,3,4187.400,4188.391,4189.358,4189.802,4190.520
2026-12-01,ets_damped_noseas,4188.913,2026-09-01,4,4186.587,4187.580,4189.128,4189.905,4190.749
2027-01-01,ets_damped_noseas,4188.717,2026-09-01,5,4185.690,4187.123,4188.955,4190.047,4191.108
2027-02-01,ets_damped_noseas,4188.560,2026-09-01,6,4185.093,4186.699,4188.462,4190.114,4191.450
2027-03-01,ets_damped_noseas,4188.435,2026-09-01,7,4184.978,4186.465,4188.336,4190.013,4191.849
2027-04-01,ets_damped_noseas,4188.335,2026-09-01,8,4184.748,4186.226,4187.870,4190.037,4192.224
2027-05-01,ets_damped_noseas,4188.255,2026-09-01,9,4184.716,4186.084,4187.985,4189.850,4192.573
2027-06-01,ets_damped_noseas,4188.190,2026-09-01,10,4184.855,4186.063,4187.668,4189.591,4192.120
2027-07-01,ets_damped_noseas,4188.139,2026-09-01,11,4185.150,4186.118,4187.675,4189.186,4191.820
2027-08-01,ets_damped_noseas,4188.098,2026-09-01,12,4185.217,4186.364,4187.460,4189.000,4191.301
2027-09-01,ets_damped_noseas,4188.065,2026-09-01,13,4185.267,4186.367,4187.489,4188.924,4191.091
2027-10-01,ets_damped_noseas,4188.039,2026-09-01,14,4184.735,4186.315,4187.532,4188.639,4191.182
2027-11-01,ets_damped_noseas,4188.018,2026-09-01,15,4184.204,4186.329,4187.596,4188.877,4191.167
2027-12-01,ets_damped_noseas,4188.001,2026-09-01,16,4183.752,4185.946,4187.639,4189.044,4191.385
2028-01-01,ets_damped_noseas,4187.988,2026-09-01,17,4183.294,4185.718,4187.780,4189.254,4191.613
2028-02-01,ets_damped_noseas,4187.977,2026-09-01,18,4182.956,4185.469,4187.663,4189.430,4191.897
2028-03-01,ets_damped_noseas,4187.968,2026-09-01,19,4182.960,4185.278,4187.598,4189.371,4192.068
2028-04-01,ets_damped_noseas,4187.961,2026-09-01,20,4183.085,4185.301,4187.399,4189.435,4192.347
2028-05-01,ets_damped_noseas,4187.956,2026-09-01,21,4183.212,4185.223,4187.289,4189.510,4192.322
2028-06-01,ets_damped_noseas,4187.951,2026-09-01,22,4183.283,4185.204,4187.392,4189.170,4192.093
2028-07-01,ets_damped_noseas,4187.948,2026-09-01,23,4183.514,4185.162,4187.169,4188.963,4191.926
2028-08-01,ets_damped_noseas,4187.945,2026-09-01,24,4183.635,4185.206,4187.205,4188.953,4191.755
2026-09-01,ets_damped_s12,4189.813,2026-09-01,1,4189.497,4189.685,4189.802,4189.917,4190.099
2026-10-01,ets_damped_s12,4189.553,2026-09-01,2,4188.949,4189.286,4189.538,4189.719,4190.099
2026-11-01,ets_damped_s12,4189.533,2026-09-01,3,4188.548,4189.184,4189.459,4189.815,4190.355
2026-12-01,ets_damped_s12,4189.650,2026-09-01,4,4188.358,4189.091,4189.517,4189.951,4190.830
2027-01-01,ets_damped_s12,4189.868,2026-09-01,5,4188.486,4189.177,4189.702,4190.324,4191.134
2027-02-01,ets_damped_s12,4190.149,2026-09-01,6,4188.619,4189.345,4189.883,4190.704,4191.627
2027-03-01,ets_damped_s12,4190.503,2026-09-01,7,4188.807,4189.556,4190.156,4191.043,4192.161
2027-04-01,ets_damped_s12,4190.789,2026-09-01,8,4188.951,4189.690,4190.423,4191.388,4192.593
2027-05-01,ets_damped_s12,4190.965,2026-09-01,9,4189.106,4189.713,4190.525,4191.458,4192.917
2027-06-01,ets_damped_s12,4190.964,2026-09-01,10,4189.066,4189.564,4190.488,4191.491,4193.237
2027-07-01,ets_damped_s12,4190.587,2026-09-01,11,4188.590,4189.122,4190.078,4191.024,4193.007
2027-08-01,ets_damped_s12,4190.023,2026-09-01,12,4187.971,4188.576,4189.428,4190.337,4192.682
2027-09-01,ets_damped_s12,4189.572,2026-09-01,13,4187.454,4188.003,4188.928,4189.928,4192.507
2027-10-01,ets_damped_s12,4189.360,2026-09-01,14,4187.049,4187.686,4188.680,4189.876,4192.589
2027-11-01,ets_damped_s12,4189.378,2026-09-01,15,4186.728,4187.635,4188.676,4189.800,4192.766
2027-12-01,ets_damped_s12,4189.526,2026-09-01,16,4186.667,4187.827,4188.769,4189.943,4192.783
2028-01-01,ets_damped_s12,4189.769,2026-09-01,17,4186.698,4187.986,4189.013,4190.285,4193.181
2028-02-01,ets_damped_s12,4190.069,2026-09-01,18,4186.853,4188.071,4189.310,4190.661,4193.597
2028-03-01,ets_damped_s12,4190.439,2026-09-01,19,4187.138,4188.322,4189.697,4191.076,4193.955
2028-04-01,ets_damped_s12,4190.738,2026-09-01,20,4187.375,4188.611,4189.930,4191.564,4194.266
2028-05-01,ets_damped_s12,4190.925,2026-09-01,21,4187.518,4188.631,4190.147,4191.757,4194.344
2028-06-01,ets_damped_s12,4190.932,2026-09-01,22,4187.477,4188.464,4190.106,4191.803,4194.288
2028-07-01,ets_damped_s12,4190.561,2026-09-01,23,4187.088,4188.030,4189.608,4191.400,4193.904
2028-08-01,ets_damped_s12,4190.002,2026-09-01,24,4186.422,4187.500,4189.054,4190.727,4193.609
2026-09-01,inflow_chain,4189.888,2026-09-01,1,4189.563,4189.707,4189.820,4189.925,4190.131
2026-10-01,inflow_chain,4189.720,2026-09-01,2,4189.094,4189.391,4189.592,4189.775,4190.025
2026-11-01,inflow_chain,4189.746,2026-09-01,3,4188.822,4189.273,4189.524,4189.799,4190.255
2026-12-01,inflow_chain,4189.929,2026-09-01,4,4188.805,4189.320,4189.606,4189.945,4190.589
